validTime,value
2023-11-20T15:00:00+00:00/PT6H,96
2023-11-20T21:00:00+00:00/PT1H,93
2023-11-20T22:00:00+00:00/PT1H,95
2023-11-20T23:00:00+00:00/PT1H,97
2023-11-21T00:00:00+00:00/PT1H,98
2023-11-21T01:00:00+00:00/PT2H,100
2023-11-21T03:00:00+00:00/PT1H,97
2023-11-21T04:00:00+00:00/PT1H,100
2023-11-21T05:00:00+00:00/PT1H,96
2023-11-21T06:00:00+00:00/PT1H,100
2023-11-21T07:00:00+00:00/PT1H,99
2023-11-21T08:00:00+00:00/PT1H,95
2023-11-21T09:00:00+00:00/PT1H,94
2023-11-21T10:00:00+00:00/PT1H,90
2023-11-21T11:00:00+00:00/PT1H,94
2023-11-21T12:00:00+00:00/PT1H,89
2023-11-21T13:00:00+00:00/PT2H,84
2023-11-21T15:00:00+00:00/PT1H,79
2023-11-21T16:00:00+00:00/PT1H,68
2023-11-21T17:00:00+00:00/PT1H,60
2023-11-21T18:00:00+00:00/PT1H,56
2023-11-21T19:00:00+00:00/PT1H,51
2023-11-21T20:00:00+00:00/PT1H,49
2023-11-21T21:00:00+00:00/PT1H,47
2023-11-21T22:00:00+00:00/PT1H,43
2023-11-21T23:00:00+00:00/PT1H,46
2023-11-22T00:00:00+00:00/PT1H,51
2023-11-22T01:00:00+00:00/PT1H,56
2023-11-22T02:00:00+00:00/PT2H,66
2023-11-22T04:00:00+00:00/PT1H,69
2023-11-22T05:00:00+00:00/PT1H,72
2023-11-22T06:00:00+00:00/PT1H,78
2023-11-22T07:00:00+00:00/PT1H,81
2023-11-22T08:00:00+00:00/PT2H,80
2023-11-22T10:00:00+00:00/PT1H,78
2023-11-22T11:00:00+00:00/PT1H,80
2023-11-22T12:00:00+00:00/PT1H,82
2023-11-22T13:00:00+00:00/PT1H,77
2023-11-22T14:00:00+00:00/PT1H,76
2023-11-22T15:00:00+00:00/PT1H,72
2023-11-22T16:00:00+00:00/PT1H,61
2023-11-22T17:00:00+00:00/PT1H,52
2023-11-22T18:00:00+00:00/PT1H,45
2023-11-22T19:00:00+00:00/PT1H,42
2023-11-22T20:00:00+00:00/PT1H,41
2023-11-22T21:00:00+00:00/PT1H,42
2023-11-22T22:00:00+00:00/PT1H,44
2023-11-22T23:00:00+00:00/PT1H,49
2023-11-23T00:00:00+00:00/PT1H,55
2023-11-23T01:00:00+00:00/PT1H,60
2023-11-23T02:00:00+00:00/PT1H,67
2023-11-23T03:00:00+00:00/PT1H,70
2023-11-23T04:00:00+00:00/PT1H,73
2023-11-23T05:00:00+00:00/PT1H,72
2023-11-23T06:00:00+00:00/PT1H,75
2023-11-23T07:00:00+00:00/PT2H,78
2023-11-23T09:00:00+00:00/PT1H,82
2023-11-23T10:00:00+00:00/PT1H,85
2023-11-23T11:00:00+00:00/PT2H,88
2023-11-23T13:00:00+00:00/PT1H,92
2023-11-23T14:00:00+00:00/PT1H,88
2023-11-23T15:00:00+00:00/PT1H,85
2023-11-23T16:00:00+00:00/PT1H,75
2023-11-23T17:00:00+00:00/PT1H,67
2023-11-23T18:00:00+00:00/PT1H,62
2023-11-23T19:00:00+00:00/PT1H,57
2023-11-23T20:00:00+00:00/PT1H,55
2023-11-23T21:00:00+00:00/PT2H,53
2023-11-23T23:00:00+00:00/PT1H,55
2023-11-24T00:00:00+00:00/PT1H,57
2023-11-24T01:00:00+00:00/PT1H,59
2023-11-24T02:00:00+00:00/PT1H,61
2023-11-24T03:00:00+00:00/PT1H,64
2023-11-24T04:00:00+00:00/PT1H,63
2023-11-24T05:00:00+00:00/PT2H,61
2023-11-24T07:00:00+00:00/PT1H,60
2023-11-24T08:00:00+00:00/PT2H,63
2023-11-24T10:00:00+00:00/PT4H,62
2023-11-24T14:00:00+00:00/PT2H,65
2023-11-24T16:00:00+00:00/PT1H,60
2023-11-24T17:00:00+00:00/PT1H,55
2023-11-24T18:00:00+00:00/PT1H,51
2023-11-24T19:00:00+00:00/PT1H,49
2023-11-24T20:00:00+00:00/PT2H,47
2023-11-24T22:00:00+00:00/PT1H,49
2023-11-24T23:00:00+00:00/PT1H,51
2023-11-25T00:00:00+00:00/PT1H,55
2023-11-25T01:00:00+00:00/PT2H,58
2023-11-25T03:00:00+00:00/PT1H,60
2023-11-25T04:00:00+00:00/PT1H,62
2023-11-25T05:00:00+00:00/PT1H,60
2023-11-25T06:00:00+00:00/PT1H,62
2023-11-25T07:00:00+00:00/PT1H,65
2023-11-25T08:00:00+00:00/PT1H,62
2023-11-25T09:00:00+00:00/PT1H,65
2023-11-25T10:00:00+00:00/PT2H,68
2023-11-25T12:00:00+00:00/PT1H,71
2023-11-25T13:00:00+00:00/PT2H,74
2023-11-25T15:00:00+00:00/PT1H,71
2023-11-25T16:00:00+00:00/PT1H,65
2023-11-25T17:00:00+00:00/PT1H,60
2023-11-25T18:00:00+00:00/PT1H,56
2023-11-25T19:00:00+00:00/PT1H,51
2023-11-25T20:00:00+00:00/PT2H,52
2023-11-25T22:00:00+00:00/PT1H,54
2023-11-25T23:00:00+00:00/PT1H,56
2023-11-26T00:00:00+00:00/PT1H,61
2023-11-26T01:00:00+00:00/PT1H,66
2023-11-26T02:00:00+00:00/PT1H,71
2023-11-26T03:00:00+00:00/PT1H,78
2023-11-26T04:00:00+00:00/PT1H,85
2023-11-26T05:00:00+00:00/PT1H,88
2023-11-26T06:00:00+00:00/PT1H,92
2023-11-26T07:00:00+00:00/PT3H,96
2023-11-26T10:00:00+00:00/PT1H,92
2023-11-26T11:00:00+00:00/PT1H,96
2023-11-26T12:00:00+00:00/PT3H,92
2023-11-26T15:00:00+00:00/PT1H,88
2023-11-26T16:00:00+00:00/PT1H,81
2023-11-26T17:00:00+00:00/PT1H,69
2023-11-26T18:00:00+00:00/PT1H,61
2023-11-26T19:00:00+00:00/PT1H,55
2023-11-26T20:00:00+00:00/PT2H,50
2023-11-26T22:00:00+00:00/PT1H,52
2023-11-26T23:00:00+00:00/PT1H,59
2023-11-27T00:00:00+00:00/PT1H,66
2023-11-27T01:00:00+00:00/PT1H,72
2023-11-27T02:00:00+00:00/PT1H,78
2023-11-27T03:00:00+00:00/PT1H,81
2023-11-27T04:00:00+00:00/PT2H,85
2023-11-27T06:00:00+00:00/PT8H,88
2023-11-27T14:00:00+00:00/PT1H,81
2023-11-27T15:00:00+00:00/PT1H,78
2023-11-27T16:00:00+00:00/PT1H,69
2023-11-27T17:00:00+00:00/PT1H,59
2023-11-27T18:00:00+00:00/PT1H,52
2023-11-27T19:00:00+00:00/PT1H,48
2023-11-27T20:00:00+00:00/PT2H,46
2023-11-27T22:00:00+00:00/PT1H,48
2023-11-27T23:00:00+00:00/PT1H,57
2023-11-28T00:00:00+00:00/PT1H,64
