validTime,value
2023-11-20T15:00:00+00:00/PT1H,18.52
2023-11-20T16:00:00+00:00/PT1H,14.816
2023-11-20T17:00:00+00:00/PT1H,16.668
2023-11-20T18:00:00+00:00/PT1H,18.52
2023-11-20T19:00:00+00:00/PT2H,20.372
2023-11-20T21:00:00+00:00/PT3H,22.224
2023-11-21T00:00:00+00:00/PT1H,24.076
2023-11-21T01:00:00+00:00/PT1H,22.224
2023-11-21T02:00:00+00:00/PT1H,24.076
2023-11-21T03:00:00+00:00/PT1H,22.224
2023-11-21T04:00:00+00:00/PT2H,20.372
2023-11-21T06:00:00+00:00/PT1H,22.224
2023-11-21T07:00:00+00:00/PT1H,20.372
2023-11-21T08:00:00+00:00/PT1H,18.52
2023-11-21T09:00:00+00:00/PT1H,16.668
2023-11-21T10:00:00+00:00/PT1H,22.224
2023-11-21T11:00:00+00:00/PT1H,25.928
2023-11-21T12:00:00+00:00/PT1H,29.632
2023-11-21T13:00:00+00:00/PT1H,33.336
2023-11-21T14:00:00+00:00/PT1H,35.188
2023-11-21T15:00:00+00:00/PT1H,37.04
2023-11-21T16:00:00+00:00/PT3H,38.892
2023-11-21T19:00:00+00:00/PT1H,37.04
2023-11-21T20:00:00+00:00/PT1H,35.188
2023-11-21T21:00:00+00:00/PT1H,33.336
2023-11-21T22:00:00+00:00/PT1H,27.78
2023-11-21T23:00:00+00:00/PT1H,24.076
2023-11-22T00:00:00+00:00/PT1H,18.52
2023-11-22T01:00:00+00:00/PT1H,16.668
2023-11-22T02:00:00+00:00/PT1H,14.816
2023-11-22T03:00:00+00:00/PT2H,12.964
2023-11-22T05:00:00+00:00/PT3H,11.112
2023-11-22T08:00:00+00:00/PT5H,9.26
2023-11-22T13:00:00+00:00/PT2H,11.112
2023-11-22T15:00:00+00:00/PT1H,12.964
2023-11-22T16:00:00+00:00/PT2H,14.816
2023-11-22T18:00:00+00:00/PT1H,16.668
2023-11-22T19:00:00+00:00/PT5H,18.52
2023-11-23T00:00:00+00:00/PT1H,16.668
2023-11-23T01:00:00+00:00/PT2H,14.816
2023-11-23T03:00:00+00:00/PT5H,12.964
2023-11-23T08:00:00+00:00/PT3H,14.816
2023-11-23T11:00:00+00:00/PT1H,16.668
2023-11-23T12:00:00+00:00/PT1H,18.52
2023-11-23T13:00:00+00:00/PT1H,20.372
2023-11-23T14:00:00+00:00/PT1H,24.076
2023-11-23T15:00:00+00:00/PT5H,25.928
2023-11-23T20:00:00+00:00/PT2H,24.076
2023-11-23T22:00:00+00:00/PT1H,25.928
2023-11-23T23:00:00+00:00/PT2H,27.78
2023-11-24T01:00:00+00:00/PT1H,25.928
2023-11-24T02:00:00+00:00/PT1H,24.076
2023-11-24T03:00:00+00:00/PT5H,22.224
2023-11-24T08:00:00+00:00/PT12H,24.076
2023-11-24T20:00:00+00:00/PT3H,25.928
2023-11-24T23:00:00+00:00/PT1H,24.076
2023-11-25T00:00:00+00:00/PT1H,22.224
2023-11-25T01:00:00+00:00/PT2H,20.372
2023-11-25T03:00:00+00:00/PT2H,18.52
2023-11-25T05:00:00+00:00/PT3H,16.668
2023-11-25T08:00:00+00:00/PT3H,14.816
2023-11-25T11:00:00+00:00/PT3H,12.964
2023-11-25T14:00:00+00:00/PT3H,11.112
2023-11-25T17:00:00+00:00/PT3H,12.964
2023-11-25T20:00:00+00:00/PT2H,14.816
2023-11-25T22:00:00+00:00/PT2H,12.964
2023-11-26T00:00:00+00:00/PT5H,11.112
2023-11-26T05:00:00+00:00/PT3H,12.964
2023-11-26T08:00:00+00:00/PT6H,14.816
2023-11-26T14:00:00+00:00/PT3H,16.668
2023-11-26T17:00:00+00:00/PT3H,18.52
2023-11-26T20:00:00+00:00/PT2H,20.372
2023-11-26T22:00:00+00:00/PT2H,18.52
2023-11-27T00:00:00+00:00/PT8H,16.668
2023-11-27T08:00:00+00:00/PT6H,14.816
2023-11-27T14:00:00+00:00/PT2H,16.668
2023-11-27T16:00:00+00:00/PT1H,18.52
2023-11-27T17:00:00+00:00/PT4H,20.372
2023-11-27T21:00:00+00:00/PT1H,18.52
2023-11-27T22:00:00+00:00/PT2H,16.668
2023-11-28T00:00:00+00:00/PT1H,14.816
