validTime,value
2023-11-20T15:00:00+00:00/PT3H,0
2023-11-20T18:00:00+00:00/PT6H,0
2023-11-21T00:00:00+00:00/PT6H,0
2023-11-21T06:00:00+00:00/PT6H,0
2023-11-21T12:00:00+00:00/PT6H,0
2023-11-21T18:00:00+00:00/PT6H,0
2023-11-22T00:00:00+00:00/PT6H,0
2023-11-22T06:00:00+00:00/PT6H,0
2023-11-22T12:00:00+00:00/PT6H,0
2023-11-22T18:00:00+00:00/PT6H,0
2023-11-23T00:00:00+00:00/PT6H,0
2023-11-23T06:00:00+00:00/PT6H,0
2023-11-23T12:00:00+00:00/PT6H,0
2023-11-23T18:00:00+00:00/PT6H,0
2023-11-24T00:00:00+00:00/PT6H,0
2023-11-24T06:00:00+00:00/PT6H,0
2023-11-24T12:00:00+00:00/PT6H,0
2023-11-24T18:00:00+00:00/PT6H,0
2023-11-25T00:00:00+00:00/PT6H,0
2023-11-25T06:00:00+00:00/PT6H,0
2023-11-25T12:00:00+00:00/PT6H,0
2023-11-25T18:00:00+00:00/PT6H,0
2023-11-26T00:00:00+00:00/PT6H,0
2023-11-26T06:00:00+00:00/PT6H,0
2023-11-26T12:00:00+00:00/PT6H,0
2023-11-26T18:00:00+00:00/PT6H,0
2023-11-27T00:00:00+00:00/PT6H,0
2023-11-27T06:00:00+00:00/PT6H,0
2023-11-27T12:00:00+00:00/PT6H,0
2023-11-27T18:00:00+00:00/PT6H,0
