,time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
0,1950-11-15,42.9,37.8,0.008,0.008,0.0,12.7,23.5
1,1950-11-16,39.3,32.5,0.0,0.0,0.0,9.5,18.1
2,1950-11-17,38.8,32.2,0.0,0.0,0.0,7.8,11.6
3,1950-11-18,41.7,32.3,0.008,0.008,0.0,10.0,20.8
4,1950-11-19,40.0,32.3,0.016,0.016,0.0,13.4,25.3
5,1950-11-20,43.1,35.0,0.181,0.181,0.0,11.0,20.6
6,1950-11-21,42.7,35.0,0.0,0.0,0.0,11.6,20.8
7,1950-11-22,48.5,36.9,0.02,0.02,0.0,9.7,17.2
8,1950-11-23,43.6,38.7,0.047,0.047,0.0,13.2,26.4
9,1950-11-24,45.7,36.8,0.031,0.031,0.0,12.4,23.5
10,1950-11-25,42.3,37.3,0.091,0.091,0.0,5.7,11.6
11,1950-11-26,40.5,35.7,0.028,0.028,0.0,10.0,17.9
12,1950-11-27,40.0,28.6,0.0,0.0,0.0,13.6,23.7
13,1950-11-28,49.4,31.7,0.445,0.445,0.0,16.9,31.8
14,1950-11-29,51.2,39.6,0.205,0.205,0.0,17.1,35.8
15,1950-11-30,44.1,38.6,0.0,0.0,0.0,14.3,28.0
16,1950-12-01,49.5,42.3,0.24,0.24,0.0,19.6,36.0
17,1950-12-02,46.3,34.5,0.122,0.118,0.028,18.5,40.3
18,1950-12-03,36.9,32.7,0.28,0.142,0.965,11.2,25.7
19,1950-12-04,35.7,27.3,0.043,0.02,0.165,16.8,30.0
20,1950-12-05,33.6,27.3,0.008,0.0,0.055,13.9,25.5
21,1950-12-06,35.6,29.0,0.0,0.0,0.0,14.4,31.1
22,1950-12-07,33.0,23.5,0.0,0.0,0.0,8.8,17.9
23,1950-12-08,33.8,24.7,0.0,0.0,0.0,8.3,16.1
24,1950-12-09,34.4,32.3,0.028,0.004,0.165,3.2,6.7
25,1950-12-10,34.6,28.8,0.0,0.0,0.0,8.7,15.9
26,1950-12-11,35.3,28.4,0.079,0.012,0.469,10.5,20.1
27,1950-12-12,36.7,31.3,0.0,0.0,0.0,9.3,19.0
28,1950-12-13,34.6,25.5,0.047,0.031,0.11,10.0,18.3
29,1950-12-14,36.1,24.4,0.004,0.004,0.0,7.6,13.6
30,1950-12-15,35.1,26.3,0.0,0.0,0.0,7.0,13.6
31,1950-12-16,35.0,25.1,0.028,0.004,0.165,8.3,16.6
32,1950-12-17,32.8,21.6,0.024,0.0,0.165,11.0,19.2
33,1950-12-18,28.8,20.9,0.0,0.0,0.0,6.7,9.8
34,1950-12-19,34.3,21.2,0.122,0.039,0.579,14.2,24.4
35,1950-12-20,35.9,31.4,0.012,0.012,0.0,9.7,17.4
36,1950-12-21,32.6,28.0,0.0,0.0,0.0,7.5,13.4
37,1950-12-22,31.7,21.8,0.0,0.0,0.0,11.0,18.3
38,1950-12-23,33.8,23.8,0.0,0.0,0.0,6.3,10.7
39,1950-12-24,31.2,27.5,0.0,0.0,0.0,5.6,9.6
40,1950-12-25,33.3,29.1,0.0,0.0,0.0,9.2,16.3
41,1950-12-26,32.3,30.3,0.012,0.0,0.083,12.8,23.3
42,1950-12-27,30.4,16.7,0.0,0.0,0.0,13.1,25.3
43,1950-12-28,22.2,12.2,0.0,0.0,0.0,9.5,16.8
44,1950-12-29,18.1,6.2,0.0,0.0,0.0,6.7,11.4
45,1950-12-30,13.9,2.6,0.0,0.0,0.0,6.6,10.3
46,1950-12-31,15.5,-1.0,0.0,0.0,0.0,7.8,13.0
47,1951-01-01,31.4,5.1,0.012,0.0,0.083,11.1,20.6
48,1951-01-02,29.4,15.7,0.0,0.0,0.0,10.1,17.9
49,1951-01-03,32.4,16.1,0.016,0.004,0.083,10.1,19.2
50,1951-01-04,36.1,29.6,0.0,0.0,0.0,9.5,18.1
51,1951-01-05,42.7,31.7,0.193,0.193,0.0,14.8,26.8
52,1951-01-06,42.2,34.7,0.059,0.059,0.0,12.0,22.6
53,1951-01-07,43.7,37.0,0.224,0.224,0.0,24.6,56.6
54,1951-01-08,39.2,35.6,0.043,0.043,0.0,18.5,35.6
55,1951-01-09,39.4,33.0,0.122,0.122,0.0,18.9,35.3
56,1951-01-10,37.3,28.9,0.008,0.008,0.0,12.0,22.1
57,1951-01-11,42.5,37.6,0.13,0.13,0.0,14.9,28.0
58,1951-01-12,47.0,30.8,0.039,0.039,0.0,12.0,22.8
59,1951-01-13,39.8,32.6,0.0,0.0,0.0,10.5,20.4
60,1951-01-14,41.3,36.9,0.142,0.142,0.0,13.3,26.2
61,1951-01-15,40.8,34.9,0.39,0.366,0.165,13.2,23.3
62,1951-01-16,36.9,30.4,0.008,0.008,0.0,12.7,24.6
